country,card_url,general,country_link,city,PM2.5,date,hour
Bangladesh,https://openaq.org/#/location/SPARTAN%20-%20Dhaka%20University,SPARTAN - Dhaka University,Bangladesh,"Dhaka,",6.4,9/21/2015,1:00
Bangladesh,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Dhaka,US Diplomatic Post: Dhaka,Bangladesh,"Dhaka,",27,4/26/2020,1:00
Belgium,https://openaq.org/#/location/BELAL01,BELAL01,Belgium,"Antwerpen,",49.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BELHB23,BELHB23,Belgium,"Antwerpen,",46,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BELSA04,BELSA04,Belgium,"Antwerpen,",46,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETM802,BETM802,Belgium,"Antwerpen,",42.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETN016,BETN016,Belgium,"Antwerpen,",27,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR801,BETR801,Belgium,"Antwerpen,",48,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR802,BETR802,Belgium,"Antwerpen,",44.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR803,BETR803,Belgium,"Antwerpen,",45.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR805,BETR805,Belgium,"Antwerpen,",44,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR811,BETR811,Belgium,"Antwerpen,",48,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR815,BETR815,Belgium,"Antwerpen,",19,1/4/2018,4:00
Belgium,https://openaq.org/#/location/BETR817,BETR817,Belgium,"Antwerpen,",39.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR831,BETR831,Belgium,"Antwerpen,",42.5,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETR834,BETR834,Belgium,"Antwerpen,",41,4/24/2020,3:00
Belgium,https://openaq.org/#/location/BETN063,BETN063,"wallon,",Brabant,21.026,4/24/2020,3:00
Bermuda,https://openaq.org/#/location/Rangoon,Rangoon,Bermuda,"N/A,",40,4/26/2020,1:30
Bosnia and Herzegovina,https://openaq.org/#/location/Lukavac,Lukavac,Bosnia,"Lukavac,",5.9,4/26/2020,2:00
Bosnia and Herzegovina,https://openaq.org/#/location/Manama,Manama,Bosnia,"N/A,",37,4/25/2020,23:00
Bosnia and Herzegovina,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Sarajevo,US Diplomatic Post: Sarajevo,Bosnia,"Sarajevo,",15,4/26/2020,2:00
Bosnia and Herzegovina,https://openaq.org/#/location/BKC,BKC,Bosnia,"Tuzla,",5.5,4/26/2020,2:00
Bosnia and Herzegovina,https://openaq.org/#/location/Bukinje,Bukinje,Bosnia,"Tuzla,",10.9,4/26/2020,2:00
Bosnia and Herzegovina,https://openaq.org/#/location/Skver,Skver,Bosnia,"Tuzla,",18.6,4/26/2020,2:00
Bosnia and Herzegovina,https://openaq.org/#/location/%C5%BDivinice,Živinice,Bosnia,"Živinice,",11,4/26/2020,2:00
Brazil,https://openaq.org/#/location/Campinas-V.Uni%C3%A3o,Campinas-V.União,Brazil,"Campinas,",30,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Guarulhos-Pa%C3%A7o%20Municipal,Guarulhos-Paço Municipal,Brazil,"Guarulhos,",37,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Guarulhos-Pimentas,Guarulhos-Pimentas,Brazil,"Guarulhos,",43,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Osasco,Osasco,Brazil,"Osasco,",98,10/18/2017,14:00
